V	E	duration
6	6	54
7	9	105
6	5	34
6	12	25
8	7	1419
8	25	3495
7	7	154
8	25	22303
8	27	42440
7	11	255
8	9	788
8	23	33825
8	20	6598
6	5	22
8	20	3614
8	19	4056
6	9	26
6	14	108
6	12	52
8	20	1199
8	22	564
6	7	19
8	13	1363
6	14	49
6	9	29
7	12	147
8	7	895
7	7	177
6	10	24
6	10	10
8	24	14470
8	12	995
6	5	24
6	14	95
7	6	118
7	14	931
6	8	17
6	6	20
7	15	109
7	20	1242
8	7	890
7	12	122
8	27	87582
7	9	256
6	6	18
6	7	30
7	11	149
8	25	49516
8	19	565
8	13	480
6	10	21
6	9	19
6	7	18
6	7	22
6	5	24
6	14	31
8	18	1072
8	20	4614
6	5	27
6	14	94
6	6	20
8	18	1014
6	14	95
8	16	1164
6	5	32
7	7	122
6	13	23
6	6	15
8	22	3261
6	12	43
8	12	1392
7	18	204
8	20	883
6	9	15
8	26	27254
7	12	271
8	24	11556
7	20	1920
7	11	91
7	8	110
8	19	281
8	23	5505
6	12	11
8	13	1202
8	12	1691
8	23	1002
8	26	66564
7	11	163
6	10	24
7	19	3920
7	15	91
6	10	24
6	7	15
8	16	1623
7	13	151
6	8	20
8	17	902
6	10	22
7	16	342
6	12	46
6	6	20
6	5	29
8	27	42807
7	11	213
7	15	112
8	25	3441
8	20	2023
6	13	63
6	7	19
7	20	5014
8	7	1022
6	12	21
8	15	1655
8	24	7290
7	14	143
7	7	157
7	11	144
7	19	414
6	12	18
8	24	3296
6	11	34
8	19	2959
8	9	979
8	13	3216
8	23	973
6	7	25
6	11	27
7	20	4990
8	18	1621
6	13	26
8	24	41147
7	10	198
6	12	10
7	14	197
6	9	16
6	10	18
6	14	49
6	10	10
8	22	4151
7	18	177
7	12	136
8	9	916
6	6	22
7	18	156
7	13	133
8	25	17247
6	11	25
7	20	2052
6	7	30
7	14	198
7	11	367
7	6	307
6	6	37
6	13	18
6	6	36
6	9	24
7	20	4321
8	14	1306
6	10	19
8	16	1000
6	8	29
8	20	1275
7	17	402
8	21	1858
6	7	27
6	5	24
8	13	546
6	10	34
6	7	23
8	14	1409
8	16	833
8	23	12508
6	11	16
8	13	866
7	14	505
7	19	1428
6	9	18
8	9	921
6	9	30
6	5	21
7	19	1422
6	14	35
8	25	4812
8	14	511
7	10	154
7	8	257
7	14	127
6	11	18
6	6	33
7	20	4377
6	5	27
6	6	24
6	13	94
6	14	35
6	6	18
8	17	3384
7	8	190
8	8	808
6	5	28
7	20	1980
6	5	22
8	7	5517
7	18	120
8	26	60343
7	18	139
8	16	798
7	20	1929
8	22	4054
8	21	1043
6	9	15
6	13	55
7	18	459
8	13	407
6	8	15
6	10	16
8	8	1183
6	6	30
6	14	35
8	20	3465
7	14	135
7	18	283
7	7	278
7	20	4378
7	20	4269
6	10	15
8	12	2070
6	11	25
8	26	21343
8	23	1629
8	21	2741
6	12	17
7	18	416
6	14	48
7	13	181
6	12	31
7	18	275
7	8	129
8	10	1274
8	12	1851
7	16	98
8	22	2313
7	13	98
8	19	696
7	15	270
8	24	29034
6	12	16
6	8	16
7	17	326
8	26	31484
6	14	88
6	11	11
7	6	175
8	11	2039
7	13	124
8	26	5021
8	7	1125
8	25	15711
8	24	5646
6	12	28
7	18	1473
7	9	67
7	7	277
8	14	1225
8	10	752
7	9	190
6	7	24
8	27	87197
6	8	152
7	15	327
7	6	501
8	10	914
6	5	20
8	9	1778
6	8	23
8	13	514
6	12	16
8	14	449
8	24	4753
8	14	792
7	18	460
8	12	523
8	10	1880
7	20	1060
6	11	9
6	11	24
8	15	839
8	14	1011
6	11	26
8	15	1718
6	8	20
7	16	439
8	22	623
6	8	25
8	26	9798
6	10	40
7	10	143
8	21	4042
6	10	18
6	14	48
7	17	488
