seed	V	E	states	duration
4489c4a14f72866f	6	15	112208	191
1d3d2f3bc2dbbafc	7	9	1035	84
41fe98a65bb65c45	8	23	49193	746
bdba807747a918d8	8	12	4690	793
3545ccde9e03cdc1	7	12	2468	144
640f13eb238eb1ce	8	26	5898985	173509
031f1a9351972c57	7	9	1476	156
d7b02be07f63fe1f	8	16	3305	1085
46ae37051484c58a	7	7	1619	90
b7ccf3ca8201e1c1	8	18	14873	2504
3ecf31d8ae673773	6	5	652	18
160a9e8c4e34125f	7	7	5432	177
e17682785108d816	6	9	3750	17
bd9a02231d9f986f	7	21	3401078	8332
ac524a76ebe72958	6	9	3750	49
294168c96588145c	7	20	466927	4386
a3dd3e2b14c6aeb3	8	18	25033	730
d8195b7f712a1f81	7	12	17752	298
06ca18ece12c8279	6	14	22689	48
e76d13aa369b6ca8	6	5	1434	22
dc59c998a42103bd	7	7	8750	258
995b9d9b36248a4c	6	10	4065	24
d755f06338ddd4a1	7	9	1042	75
813893e2ce09f70f	6	13	5299	29
3c52c447ca5e55fc	6	11	5053	20
3bf7fd613c58e37e	8	16	8003	1111
03dd9f0986721adc	7	18	35993	175
48964ada63c0c3b6	8	18	3796	1030
810e2b6a0e521a8f	6	12	16035	94
54f47b9d29ee701e	8	20	7604	2370
f2f4a6476bd27283	8	8	23992	3039
0d4ad46ba254b8db	7	8	4039	128
9d99fd605b2e0c98	6	12	3333	16
c0702e44881dc32e	7	15	11335	364
72a5e33d073da479	8	25	582135	16526
67ebf354c7ba46c3	6	15	112208	176
57c979c1f98cd8b8	8	7	5798	1146
27a41332eb4151b3	7	11	3552	76
bd1e7c3a4464a796	6	13	5299	38
1b03ec0b50ec7b2f	6	9	3298	30
326b05b856ddc7d8	7	12	2350	294
ba63bfaa6bec7329	7	18	35993	239
a260f7548e9a6fac	6	6	3309	38
f680f3bb3e0335af	8	8	60045	2567
d860785ee97ed6e5	8	23	124243	11338
e577e9dab158262b	6	12	5369	14
3d34b8e02bd91479	6	13	5299	14
eeb45d21cbcf18d0	8	25	5462079	25472
b7ea934b3331002a	6	10	1704	71
c6a03094632d2301	8	21	33735	3610
84730145a2e741fd	6	13	14161	27
61db60a78be15389	8	26	5898985	21448
a02d29efe9865f37	6	15	112208	228
2ade135d081adf26	7	15	5191	119
0872a87e1d5d78bc	6	5	652	17
5f62af3e12350c01	8	16	5409	437
2c38e9eee8299cbe	8	20	28095	3951
02a0c5570774d47e	7	11	1998	85
47dbb113311f38cb	7	14	8396	113
e8738ed553820923	6	13	14161	88
2bc745dfa05c414e	8	22	151181	2954
877055a822501107	6	5	1434	22
d044e240f3b40fe8	7	20	466927	1942
97166eb1a7237bf9	6	13	14161	21
39c410ac8735d5e9	6	6	1433	20
a3789751764d26ed	7	12	1761	122
bbe006d1f2423c9a	7	10	6696	152
37d5214a33a57b9a	6	14	22689	35
803a4a2564ccacc3	8	11	558	1095
80ade198acb68f1d	6	13	5299	18
47fd701c7fa24e2d	8	12	10695	789
3009d6c66bc05d73	7	12	2715	161
5e97ed609664a8aa	8	13	27500	1291
5230c526b6fd0b87	7	12	5474	136
b72b2c050a041184	6	7	3639	29
53b5e015443f232d	8	21	40517	3339
d4a53b180503c78b	7	15	36319	146
8f011f3a695054a3	8	9	3474	1272
eaf55380f4a8e96e	8	27	13370769	52199
6701482cee4f95e8	7	11	735	211
df38cd1b9764138d	7	15	49576	454
f3b8a2796e86efc0	7	9	2467	100
3fddc9f6f4768b34	8	19	8814	670
ee03249fe8aa3c86	8	25	582135	3334
154688713e35dcc8	7	10	2856	123
aa8283dc13366dae	8	9	2465	567
bb43a83440a449f3	7	21	3401078	8352
ed4f1427102f8dd3	7	17	19221	120
f686bd47b5d25dd2	7	12	1316	94
96eb5d6c10d9ab90	6	9	3298	22
b40f4f34e1f7ca34	6	9	1845	26
0f3f0c09ab62a888	7	19	237671	1070
0da8ad774386590e	7	17	51349	502
bcceed7877581d30	6	5	1332	23
b8445cc4bf3e6a25	6	8	3237	30
f9afb0ae94363030	8	17	25929	1922
