V	E	states
6	6	8861
7	9	1476
6	5	4714
6	12	8058
8	7	12876
8	25	919841
7	7	5270
8	25	919841
8	27	13370769
7	11	6303
8	9	950
8	23	214417
8	20	22009
6	5	1434
8	20	37349
8	19	45715
6	9	2279
6	14	22689
6	12	16035
8	20	10872
8	22	10056
6	7	2099
8	13	4740
6	14	22689
6	9	3298
7	12	6615
8	7	6134
7	7	7406
6	10	4007
6	10	1704
8	24	698307
8	12	4796
6	5	1332
6	14	22689
7	6	1413
7	14	17092
6	8	2142
6	6	1254
7	15	7993
7	20	466927
8	7	11390
7	12	2400
8	27	13370769
7	9	535
6	6	584
6	7	1417
7	11	3202
8	25	919841
8	19	1
8	13	1140
6	10	2212
6	9	1870
6	7	1147
6	7	2554
6	5	1434
6	14	22689
8	18	6221
8	20	163877
6	5	1434
6	14	22689
6	6	1433
8	18	1
6	14	22689
8	16	3374
6	5	2792
7	7	4532
6	13	5299
6	6	272
8	22	29055
6	12	5369
8	12	43129
7	18	11601
8	20	7861
6	9	1275
8	26	1293343
7	12	6607
8	24	109375
7	20	466927
7	11	2858
7	8	2958
8	19	5616
8	23	214417
6	12	3333
8	13	18201
8	12	5468
8	23	23695
8	26	5898985
7	11	6010
6	10	2212
7	19	237671
7	15	3325
6	10	2212
6	7	1147
8	16	8963
7	13	9554
6	8	1739
8	17	1311
6	10	1023
7	16	16147
6	12	5369
6	6	1334
6	5	1332
8	27	13370769
7	11	864
7	15	3325
8	25	919841
8	20	1836
6	13	14161
6	7	1472
7	20	466927
8	7	6022
6	12	3333
8	15	2202
8	24	109375
7	14	12348
7	7	4761
7	11	6784
7	19	68109
6	12	5369
8	24	268555
6	11	2199
8	19	3990
8	9	5662
8	13	89570
8	23	23695
6	7	3639
6	11	5971
7	20	466927
8	18	222648
6	13	5299
8	24	520843
7	10	4161
6	12	1386
7	14	5251
6	9	871
6	10	4065
6	14	22689
6	10	703
8	22	29135
7	18	35993
7	12	4281
8	9	3823
6	6	1334
7	18	35993
7	13	3794
8	25	582135
6	11	2199
7	20	466927
6	7	3639
7	14	17101
7	11	10820
7	6	19363
6	6	3309
6	13	5299
6	6	3309
6	9	2204
7	20	466927
8	14	18437
6	10	2212
8	16	2867
6	8	3274
8	20	47009
7	17	19221
8	21	70331
6	7	2099
6	5	1434
8	13	1
6	10	4065
6	7	2554
8	14	7706
8	16	5959
8	23	498781
6	11	1265
8	13	7144
7	14	16983
7	19	237671
6	9	674
8	9	7251
6	9	5639
6	5	1332
7	19	237671
6	14	22689
8	25	919841
8	14	1230
7	10	2672
7	8	14253
7	14	3761
6	11	1265
6	6	2530
7	20	466927
6	5	1332
6	6	1072
6	13	14161
6	14	22689
6	6	1001
8	17	100911
7	8	1776
8	8	3178
6	5	1332
7	20	466927
6	5	1434
8	7	96150
7	18	35993
8	26	5898985
7	18	35993
8	16	1
7	20	466927
8	22	159311
8	21	158027
6	9	1845
6	13	14161
7	18	57923
8	13	1
6	8	1739
6	10	703
8	8	13426
6	6	1843
6	14	22689
8	20	21831
7	14	12595
7	18	35993
7	7	8750
7	20	466927
7	20	466927
6	10	1704
8	12	39894
6	11	6961
8	26	1293343
8	23	347303
8	21	8718
6	12	5369
7	18	102484
6	14	22689
7	13	5462
6	12	16035
7	18	57923
7	8	3890
8	10	3380
8	12	38704
7	16	4923
8	22	29653
7	13	1256
8	19	1
7	15	3325
8	24	698307
6	12	3333
6	8	1230
7	17	9851
8	26	5898985
6	14	22689
6	11	3308
7	6	9507
8	11	3342
7	13	1488
8	26	1293343
8	7	6134
8	25	582135
8	24	698307
6	12	3333
7	18	57923
7	9	1438
7	7	3147
8	14	3919
8	10	1288
7	9	10028
6	7	2244
8	27	13370769
6	8	1230
7	15	47419
7	6	46719
8	10	17758
6	5	1332
8	9	11609
6	8	1472
8	13	1544
6	12	3333
8	14	9128
8	24	268555
8	14	1
7	18	57923
8	12	3423
8	10	27853
7	20	466927
6	11	2199
6	11	5053
8	15	2937
8	14	1520
6	11	2199
8	15	59173
6	8	1778
7	16	41309
8	22	10056
6	8	2617
8	26	1293343
6	10	4007
7	10	2672
8	21	42839
6	10	1704
6	14	22689
7	17	51349
